Application ID,Application Name,Vendor,Application Type,Department,Environment,Criticality,Risk Level,Data Classification,Compliance Framework,SOX Applicable,Authentication Method,Provisioning Method,MFA Enabled,SSO Integrated,PAM Managed,Access Review Frequency,Last Access Review,Last Certification Date,User Count,Orphan Accounts,Privileged Accounts,Onboarding Status,Business Owner,IT Owner,IAM Controls
APP-1010,ForgeRock,CyberArk,On-Premise,Engineering,Development,Low,Medium,Public,None,Yes,OAuth 2.0/OIDC,Manual,Yes,Yes,Yes,Monthly,2025-06-25,2025-04-12,4518,0,15,In Progress,Amy Moore,Casey Lee,PAM Managed; Auto-Provisioned
APP-1011,OneSpan,Okta,SaaS,Finance,Staging,Medium,Low,Confidential,HIPAA,No,SAML 2.0,Automated (SCIM),No,Yes,No,Continuous,2025-03-09,2025-11-14,6058,38,7,Not Started,John Davis,Sam Harris,Access Certified; PAM Managed; SSO Enabled; Auto-Provisioned; Least Privilege Enforced
APP-1012,AWS Console,AWS,On-Premise,HR,Production,Medium,High,Public,HIPAA,Yes,MFA + SSO,Self-Service,Yes,No,Yes,Semi-Annual,2025-07-05,2025-07-20,36702,19,12,Onboarded,Mike Williams,Riley Anderson,Access Certified; Least Privilege Enforced; Auto-Provisioned; MFA Required
APP-1013,Azure Portal,Okta,IaaS,Sales,Staging,Critical,High,Public,SOX,No,Local Auth,Automated (SCIM),Yes,Yes,Yes,Monthly,2025-04-07,2025-02-25,18268,22,10,Decommissioning,Tom Miller,Jamie Martin,PAM Managed; MFA Required
APP-1014,GCP Console,Cloudflare,Custom,R&D,Development,Critical,Medium,Restricted,FedRAMP,No,SAML 2.0,Self-Service,Yes,No,Yes,Monthly,2025-06-24,2025-09-26,120,27,20,Onboarded,Lisa Davis,Riley Thomas,Auto-Provisioned; Least Privilege Enforced; SSO Enabled; RBAC Implemented
APP-1015,Splunk,Custom/Internal,Hybrid,Security,Development,Low,Low,Public,FedRAMP,Yes,LDAP,Hybrid,No,Yes,No,Annual,2025-09-05,2025-04-14,18813,26,22,Onboarded,Emma Wilson,Drew Clark,Least Privilege Enforced; Access Certified; Auto-Provisioned
APP-1016,Crowdstrike,SAP,PaaS,HR,Production,Medium,Critical,Internal,GDPR,Yes,MFA + SSO,Self-Service,Yes,Yes,Yes,Annual,2025-02-27,2025-10-28,31148,43,10,Onboarded,Chris Taylor,Taylor Garcia,Just-In-Time Access; MFA Required; Auto-Provisioned; SSO Enabled; PAM Managed
APP-1017,Palo Alto NGFW,HashiCorp,PaaS,Legal,Staging,High,Low,Restricted,GDPR,Yes,Certificate-Based,Self-Service,Yes,No,No,Monthly,2025-01-18,2025-12-28,10440,7,15,Decommissioning,David Brown,Casey Lewis,PAM Managed; Just-In-Time Access; SSO Enabled
APP-1018,Jira,Salesforce,On-Premise,Sales,Staging,Medium,Low,Public,None,Yes,LDAP,Manual,Yes,Yes,Yes,Continuous,2025-02-05,2025-08-14,35570,14,13,Decommissioning,Chris Miller,Pat Anderson,Least Privilege Enforced; SSO Enabled; RBAC Implemented; Auto-Provisioned; Just-In-Time Access
APP-1019,Confluence,Microsoft,SaaS,Legal,Staging,Low,High,Restricted,SOX,No,OAuth 2.0/OIDC,Manual,No,Yes,No,Monthly,2025-08-01,2025-10-22,38800,21,22,Onboarded,Chris Williams,Drew Jackson,Access Certified; RBAC Implemented; MFA Required; Just-In-Time Access
APP-1020,GitHub Enterprise,Microsoft,Hybrid,Marketing,Development,Low,Critical,Confidential,FedRAMP,Yes,LDAP,Hybrid,Yes,No,Yes,Annual,2025-02-16,2025-04-27,16215,47,18,Onboarded,Mike Brown,Sam Clark,Just-In-Time Access; Least Privilege Enforced
APP-1021,GitLab,CyberArk,Custom,Sales,Development,High,High,Internal,PCI-DSS,Yes,MFA + SSO,Self-Service,No,No,No,Quarterly,2025-03-10,2025-12-25,6688,37,1,Onboarded,Rachel Johnson,Pat Anderson,Auto-Provisioned; SSO Enabled; PAM Managed; RBAC Implemented; Access Certified
APP-1022,Jenkins,Atlassian,On-Premise,Legal,DR,Critical,Low,Public,PCI-DSS,No,Local Auth,Manual,No,No,No,Monthly,2025-12-05,2025-02-09,16098,11,24,Not Started,Amy Taylor,Pat Garcia,Least Privilege Enforced; Access Certified
APP-1023,Terraform Cloud,HashiCorp,PaaS,Marketing,Staging,Low,Low,Internal,GDPR,No,OAuth 2.0/OIDC,Manual,Yes,Yes,Yes,Annual,2025-06-09,2025-08-21,45269,35,1,Decommissioning,John Johnson,Casey White,PAM Managed; Auto-Provisioned; Least Privilege Enforced
APP-1024,Slack,Google,On-Premise,Marketing,DR,Medium,High,Confidential,None,No,Local Auth,Self-Service,No,Yes,Yes,Annual,2025-06-23,2025-09-25,48695,17,10,Not Started,Lisa Wilson,Casey Lee,MFA Required; Access Certified; Least Privilege Enforced; RBAC Implemented
APP-1025,Zoom,SailPoint,On-Premise,Engineering,Development,High,Critical,Public,None,Yes,LDAP,Automated (SCIM),No,Yes,No,Continuous,2025-03-09,2025-08-15,30772,3,18,Onboarded,John Jones,Drew Thomas,Access Certified; Just-In-Time Access
APP-1026,Teams,Custom/Internal,Hybrid,Finance,Production,High,Low,Public,FedRAMP,Yes,OAuth 2.0/OIDC,Self-Service,No,Yes,No,Annual,2025-02-08,2025-07-10,38579,35,25,Decommissioning,John Taylor,Jordan White,PAM Managed; Auto-Provisioned; SSO Enabled
APP-1027,Box,ServiceNow,IaaS,HR,Staging,High,High,Public,SOC 2,No,MFA + SSO,Automated (SCIM),No,No,Yes,Semi-Annual,2025-01-14,2025-08-03,46080,44,20,Not Started,Rachel Brown,Riley Thomas,RBAC Implemented; Least Privilege Enforced; MFA Required
APP-1028,Dropbox Business,Crowdstrike,Custom,Finance,Production,High,Medium,Restricted,SOX,No,Certificate-Based,Manual,No,No,No,Continuous,2025-12-27,2025-10-02,5281,28,4,Decommissioning,Emma Taylor,Casey Anderson,SSO Enabled; Access Certified; Auto-Provisioned
APP-1029,Google Workspace,Google,IaaS,Sales,Production,High,Medium,Public,None,No,Local Auth,Self-Service,No,Yes,No,Monthly,2025-05-06,2025-11-04,21050,40,27,Decommissioning,Chris Wilson,Casey Garcia,Least Privilege Enforced; SSO Enabled
APP-1030,Tableau,CyberArk,PaaS,Marketing,Development,Medium,Low,Internal,None,No,SAML 2.0,Hybrid,Yes,No,No,Continuous,2025-01-22,2025-09-05,17511,26,2,Onboarded,Amy Johnson,Alex Lee,RBAC Implemented; Least Privilege Enforced; PAM Managed
APP-1031,Power BI,Palo Alto,On-Premise,IT,DR,Critical,Low,Internal,PCI-DSS,Yes,OAuth 2.0/OIDC,Automated (SCIM),No,No,No,Monthly,2025-02-21,2025-09-05,29945,31,30,Decommissioning,Rachel Moore,Sam Thomas,Auto-Provisioned; Access Certified; PAM Managed; RBAC Implemented; SSO Enabled
APP-1032,Snowflake,SailPoint,Custom,Sales,Development,Low,High,Restricted,GDPR,No,Certificate-Based,Automated (API),No,No,No,Monthly,2025-09-16,2025-07-02,15316,21,18,In Progress,Amy Miller,Riley Jackson,RBAC Implemented; PAM Managed
APP-1033,Databricks,SAP,IaaS,R&D,Development,Critical,Low,Public,None,Yes,Certificate-Based,Hybrid,No,Yes,Yes,Quarterly,2025-09-15,2025-12-13,40855,46,5,Not Started,Tom Miller,Morgan Clark,MFA Required; Least Privilege Enforced
APP-1034,Elastic Cloud,Crowdstrike,Hybrid,Sales,Staging,Critical,Medium,Restricted,SOC 2,No,Local Auth,Automated (SCIM),No,Yes,No,Quarterly,2025-08-06,2025-04-17,9550,1,2,Not Started,Mike Williams,Sam Thomas,Just-In-Time Access; Least Privilege Enforced; PAM Managed; MFA Required; Auto-Provisioned
APP-1035,Datadog,HashiCorp,SaaS,Operations,Development,Low,Medium,Public,SOC 2,Yes,LDAP,Automated (SCIM),No,No,No,Monthly,2025-05-22,2025-07-28,13065,4,15,Decommissioning,Lisa Miller,Pat Martin,PAM Managed; SSO Enabled; Auto-Provisioned; Just-In-Time Access
APP-1036,PagerDuty,Ping,Custom,Sales,Production,Critical,Critical,Public,FedRAMP,No,MFA + SSO,Hybrid,Yes,No,Yes,Annual,2025-04-20,2025-01-19,28899,14,21,Onboarded,Mike Johnson,Casey Martin,RBAC Implemented; MFA Required; Access Certified; PAM Managed; Least Privilege Enforced
APP-1037,Dynatrace,Cloudflare,SaaS,Security,Development,High,Low,Confidential,GDPR,No,LDAP,Hybrid,Yes,Yes,Yes,Annual,2025-12-28,2025-01-09,25868,7,15,Not Started,Amy Davis,Casey Lee,MFA Required; Auto-Provisioned; Least Privilege Enforced; Just-In-Time Access
APP-1038,New Relic,Palo Alto,PaaS,IT,Development,High,Low,Confidential,FedRAMP,No,Kerberos,Automated (SCIM),Yes,Yes,No,Monthly,2025-12-10,2025-09-05,15397,7,5,Onboarded,Emma Moore,Riley Lee,Access Certified; Auto-Provisioned; SSO Enabled
APP-1039,Sumo Logic,IBM,Custom,Operations,DR,Medium,Low,Internal,HIPAA,Yes,SAML 2.0,Manual,No,No,Yes,Semi-Annual,2025-08-15,2025-08-03,8015,23,4,Not Started,Rachel Smith,Alex Martin,Just-In-Time Access; SSO Enabled; PAM Managed
APP-1040,NetSuite,SailPoint,SaaS,Engineering,Staging,High,Critical,Confidential,FedRAMP,Yes,LDAP,Automated (API),No,Yes,Yes,Continuous,2025-01-09,2025-04-19,23487,8,18,In Progress,Mike Jones,Alex Jackson,MFA Required; Auto-Provisioned; SSO Enabled; Just-In-Time Access; PAM Managed
APP-1041,Coupa,SAP,SaaS,Marketing,Production,Low,Low,Confidential,HIPAA,No,MFA + SSO,Automated (API),Yes,Yes,No,Continuous,2025-01-24,2025-12-15,32140,29,21,Decommissioning,Emma Taylor,Sam Thomas,Auto-Provisioned; Just-In-Time Access; PAM Managed; Least Privilege Enforced
APP-1042,Ariba,Crowdstrike,IaaS,Sales,DR,Low,Low,Restricted,SOX,Yes,SAML 2.0,Automated (SCIM),Yes,No,No,Continuous,2025-12-28,2025-02-11,47825,27,15,Decommissioning,David Davis,Sam Clark,MFA Required; SSO Enabled
APP-1043,Concur,Zscaler,On-Premise,Legal,Production,Medium,Critical,Public,PCI-DSS,No,Certificate-Based,Automated (API),No,No,No,Continuous,2025-01-19,2025-02-19,23055,42,4,Not Started,Mike Wilson,Taylor Thomas,MFA Required; Access Certified; RBAC Implemented; PAM Managed
APP-1044,DocuSign,SAP,Custom,Engineering,DR,Critical,Low,Internal,GDPR,No,MFA + SSO,Manual,Yes,Yes,Yes,Quarterly,2025-03-09,2025-11-01,48570,21,12,Onboarded,Tom Brown,Riley Garcia,RBAC Implemented; Least Privilege Enforced; Access Certified; Auto-Provisioned
APP-1045,Adobe Sign,Ping,PaaS,R&D,Production,Critical,Low,Internal,SOC 2,Yes,OAuth 2.0/OIDC,Automated (API),No,No,No,Continuous,2025-01-22,2025-09-04,49485,17,15,Not Started,Sarah Jones,Pat Clark,SSO Enabled; MFA Required; Just-In-Time Access; PAM Managed
APP-1046,Marketo,Ping,SaaS,IT,Production,High,High,Internal,GDPR,No,LDAP,Automated (API),No,No,Yes,Semi-Annual,2025-05-10,2025-09-27,32795,7,1,Decommissioning,Chris Smith,Riley Anderson,Auto-Provisioned; PAM Managed
APP-1047,HubSpot,SAP,PaaS,Legal,DR,Low,Critical,Restricted,None,Yes,LDAP,Automated (SCIM),No,Yes,No,Monthly,2025-01-11,2025-07-17,38602,39,15,In Progress,David Davis,Taylor Martin,MFA Required; PAM Managed; Auto-Provisioned
APP-1048,Zendesk,Open Source,IaaS,Finance,Staging,Medium,Low,Restricted,GDPR,No,LDAP,Automated (API),Yes,Yes,Yes,Semi-Annual,2025-02-05,2025-10-21,44648,12,6,Decommissioning,Emma Williams,Drew Thomas,PAM Managed; Access Certified; RBAC Implemented; Least Privilege Enforced; SSO Enabled
APP-1049,Freshdesk,Zscaler,On-Premise,Marketing,Production,Medium,Critical,Internal,FedRAMP,No,Local Auth,Hybrid,Yes,No,No,Quarterly,2025-01-12,2025-10-16,21081,4,21,Decommissioning,John Wilson,Jordan Martin,RBAC Implemented; SSO Enabled
APP-1050,Intercom,Palo Alto,IaaS,Engineering,DR,Low,Medium,Public,SOX,No,MFA + SSO,Self-Service,No,No,Yes,Continuous,2025-03-12,2025-09-22,6203,18,13,Onboarded,David Taylor,Sam Martin,Auto-Provisioned; RBAC Implemented; Least Privilege Enforced
APP-1051,Twilio,HashiCorp,On-Premise,Legal,Staging,Critical,Critical,Public,PCI-DSS,No,LDAP,Self-Service,Yes,No,No,Monthly,2025-11-26,2025-04-11,11823,8,22,Not Started,Lisa Williams,Sam Thomas,SSO Enabled; Auto-Provisioned
APP-1052,SendGrid,Atlassian,On-Premise,Marketing,Staging,Low,High,Public,None,Yes,OAuth 2.0/OIDC,Automated (API),Yes,No,No,Semi-Annual,2025-12-25,2025-12-26,49318,46,15,Decommissioning,Tom Brown,Casey Clark,Auto-Provisioned; Least Privilege Enforced; PAM Managed
APP-1053,Mailchimp,Oracle,IaaS,Operations,DR,Medium,Low,Confidential,SOC 2,Yes,Certificate-Based,Hybrid,Yes,No,Yes,Continuous,2025-09-14,2025-09-28,46632,12,26,Not Started,Sarah Williams,Casey Clark,Access Certified; SSO Enabled; MFA Required
APP-1054,MongoDB Atlas,CyberArk,PaaS,Operations,Development,Critical,Medium,Public,SOX,Yes,Local Auth,Automated (SCIM),No,Yes,Yes,Monthly,2025-09-12,2025-03-02,9581,24,3,Onboarded,Mike Wilson,Drew Lee,SSO Enabled; RBAC Implemented
APP-1055,Redis Cloud,Crowdstrike,SaaS,Engineering,Staging,Low,Low,Internal,GDPR,Yes,SAML 2.0,Manual,No,Yes,Yes,Semi-Annual,2025-05-04,2025-03-10,47100,15,14,Onboarded,Rachel Davis,Taylor Lee,MFA Required; PAM Managed; RBAC Implemented
APP-1056,Postgres RDS,SailPoint,On-Premise,Finance,Production,Low,Medium,Confidential,None,No,Certificate-Based,Hybrid,Yes,No,Yes,Quarterly,2025-11-13,2025-12-25,38145,16,24,In Progress,John Davis,Jamie Martin,Least Privilege Enforced; Auto-Provisioned; Just-In-Time Access
APP-1057,MySQL RDS,CyberArk,IaaS,HR,Staging,Critical,Low,Public,None,Yes,Kerberos,Hybrid,Yes,No,No,Quarterly,2025-05-07,2025-11-07,2409,50,7,Decommissioning,John Davis,Casey Thomas,Access Certified; Just-In-Time Access; Auto-Provisioned; Least Privilege Enforced
APP-1058,DynamoDB,CyberArk,IaaS,Legal,Development,High,Medium,Confidential,FedRAMP,Yes,Local Auth,Hybrid,Yes,No,Yes,Annual,2025-09-09,2025-06-22,5257,46,14,Not Started,Amy Taylor,Riley Jackson,Auto-Provisioned; Just-In-Time Access; SSO Enabled; RBAC Implemented; Access Certified
APP-1059,Cassandra Cloud,Salesforce,Hybrid,Sales,Production,Critical,Critical,Public,GDPR,Yes,Kerberos,Hybrid,No,Yes,Yes,Annual,2025-09-26,2025-07-19,23743,1,5,In Progress,Mike Wilson,Morgan Martin,RBAC Implemented; PAM Managed
APP-1060,Kubernetes Dashboard,HashiCorp,On-Premise,Marketing,DR,Medium,Medium,Internal,HIPAA,Yes,Kerberos,Manual,No,Yes,No,Semi-Annual,2025-02-01,2025-05-23,40109,31,17,Decommissioning,Sarah Williams,Jordan Clark,MFA Required; Access Certified; Auto-Provisioned; RBAC Implemented; PAM Managed
APP-1061,Docker Hub,Open Source,SaaS,Finance,Development,Medium,Critical,Public,SOC 2,Yes,Certificate-Based,Automated (API),Yes,Yes,No,Semi-Annual,2025-06-17,2025-09-05,30641,7,7,Not Started,Sarah Jones,Riley Clark,Access Certified; Least Privilege Enforced; PAM Managed; SSO Enabled; MFA Required
APP-1062,Artifactory,ServiceNow,IaaS,Marketing,Production,Low,High,Internal,HIPAA,Yes,Local Auth,Self-Service,No,Yes,Yes,Annual,2025-03-27,2025-06-23,10624,49,5,Not Started,Tom Jones,Jordan Harris,RBAC Implemented; Auto-Provisioned; Least Privilege Enforced; PAM Managed
APP-1063,SonarQube,HashiCorp,Custom,Security,Production,High,Medium,Restricted,HIPAA,No,MFA + SSO,Self-Service,Yes,Yes,Yes,Semi-Annual,2025-03-22,2025-11-01,40518,36,2,In Progress,Tom Jones,Casey Clark,PAM Managed; Just-In-Time Access; SSO Enabled; Auto-Provisioned; MFA Required
APP-1064,Veracode,Okta,PaaS,Operations,DR,Low,Medium,Public,PCI-DSS,No,Local Auth,Automated (API),No,No,Yes,Annual,2025-10-05,2025-08-04,15852,45,11,Onboarded,Lisa Williams,Jordan Anderson,Access Certified; MFA Required; Least Privilege Enforced; RBAC Implemented; PAM Managed
APP-1065,Checkmarx,HashiCorp,IaaS,Engineering,Staging,Low,Medium,Confidential,HIPAA,Yes,MFA + SSO,Hybrid,No,Yes,Yes,Monthly,2025-05-16,2025-08-20,18448,5,13,Onboarded,Tom Smith,Jordan Garcia,Auto-Provisioned; Access Certified; Just-In-Time Access; RBAC Implemented
APP-1066,BeyondTrust,Ping,On-Premise,IT,DR,Critical,High,Restricted,SOC 2,No,MFA + SSO,Self-Service,No,No,Yes,Semi-Annual,2025-06-18,2025-06-18,24467,4,13,Onboarded,Lisa Taylor,Jamie Garcia,SSO Enabled; Least Privilege Enforced
APP-1067,Thycotic,HashiCorp,SaaS,HR,Development,Low,Medium,Restricted,SOC 2,Yes,MFA + SSO,Hybrid,No,Yes,No,Semi-Annual,2025-10-17,2025-10-10,46457,20,30,Not Started,Emma Davis,Jordan Garcia,SSO Enabled; PAM Managed; Just-In-Time Access; RBAC Implemented
APP-1068,HashiCorp Vault,Crowdstrike,Custom,R&D,Staging,Critical,High,Restricted,GDPR,No,MFA + SSO,Hybrid,Yes,Yes,Yes,Semi-Annual,2025-09-21,2025-07-05,20568,9,27,Onboarded,Lisa Miller,Jamie Lee,RBAC Implemented; PAM Managed
APP-1069,Venafi,CyberArk,Custom,Engineering,Development,Low,High,Public,PCI-DSS,No,MFA + SSO,Hybrid,No,No,Yes,Annual,2025-03-15,2025-05-25,14746,34,12,Not Started,Lisa Wilson,Morgan Clark,PAM Managed; SSO Enabled; Least Privilege Enforced; Auto-Provisioned
APP-1070,Entrust,AWS,SaaS,Legal,DR,Medium,High,Public,SOX,Yes,Certificate-Based,Automated (API),No,No,No,Annual,2025-01-10,2025-12-09,36842,22,30,In Progress,Rachel Taylor,Taylor White,Just-In-Time Access; SSO Enabled; Access Certified
APP-1071,DigiCert,SAP,Custom,Legal,Development,Low,Medium,Public,HIPAA,No,SAML 2.0,Automated (API),No,No,Yes,Quarterly,2025-09-06,2025-01-25,42339,41,30,Not Started,Rachel Brown,Jamie Anderson,RBAC Implemented; SSO Enabled; Just-In-Time Access; Auto-Provisioned; MFA Required
APP-1072,Zscaler,Atlassian,Custom,Sales,Production,Critical,Medium,Confidential,None,No,LDAP,Self-Service,No,Yes,No,Continuous,2025-02-11,2025-03-24,21681,29,21,In Progress,David Williams,Alex Martin,Just-In-Time Access; MFA Required; PAM Managed; Least Privilege Enforced
APP-1073,Cloudflare,Custom/Internal,SaaS,Legal,Development,Critical,Low,Public,FedRAMP,No,Local Auth,Automated (SCIM),No,No,Yes,Semi-Annual,2025-03-16,2025-10-24,19798,15,1,Not Started,David Davis,Taylor Anderson,Least Privilege Enforced; RBAC Implemented
APP-1074,Akamai,IBM,On-Premise,HR,DR,Medium,Medium,Restricted,SOC 2,Yes,Kerberos,Automated (SCIM),No,Yes,No,Annual,2025-06-20,2025-09-26,49643,14,5,Decommissioning,Rachel Johnson,Jamie Clark,MFA Required; PAM Managed; SSO Enabled; Auto-Provisioned
APP-1075,Imperva,Custom/Internal,SaaS,Security,Staging,High,Critical,Internal,GDPR,Yes,OAuth 2.0/OIDC,Manual,No,Yes,No,Continuous,2025-08-04,2025-07-15,33646,45,19,Decommissioning,Tom Wilson,Casey Anderson,SSO Enabled; Auto-Provisioned; MFA Required; PAM Managed
APP-1076,Fortinet,SAP,Custom,Finance,Production,Low,Low,Restricted,HIPAA,No,LDAP,Automated (SCIM),No,Yes,Yes,Continuous,2025-01-03,2025-07-13,29405,2,10,Not Started,Tom Williams,Morgan Thomas,RBAC Implemented; Auto-Provisioned; MFA Required; SSO Enabled; PAM Managed
APP-1077,Cisco ISE,Open Source,SaaS,Sales,DR,Low,Low,Internal,FedRAMP,No,MFA + SSO,Hybrid,Yes,Yes,Yes,Semi-Annual,2025-04-15,2025-02-04,13515,9,9,Onboarded,Amy Taylor,Alex White,Access Certified; Just-In-Time Access
APP-1078,Qualys,Cloudflare,Hybrid,Engineering,Staging,Critical,High,Restricted,SOX,No,OAuth 2.0/OIDC,Self-Service,No,Yes,No,Annual,2025-04-27,2025-05-02,19703,36,20,In Progress,Mike Miller,Jamie Clark,Access Certified; Least Privilege Enforced; PAM Managed; RBAC Implemented
APP-1079,Tenable,IBM,IaaS,Legal,DR,High,Low,Internal,SOC 2,Yes,LDAP,Hybrid,Yes,No,Yes,Semi-Annual,2025-09-16,2025-04-09,25465,14,10,Decommissioning,Sarah Wilson,Morgan Thomas,SSO Enabled; RBAC Implemented; Just-In-Time Access
APP-1080,Rapid7,IBM,PaaS,R&D,Production,Critical,Critical,Internal,GDPR,Yes,OAuth 2.0/OIDC,Self-Service,Yes,Yes,Yes,Continuous,2025-04-16,2025-10-23,45598,21,10,Decommissioning,Lisa Moore,Morgan Harris,Auto-Provisioned; RBAC Implemented; Access Certified; Least Privilege Enforced; Just-In-Time Access
APP-1081,Carbon Black,ServiceNow,PaaS,Operations,Production,Low,Medium,Public,FedRAMP,No,Certificate-Based,Manual,Yes,Yes,Yes,Semi-Annual,2025-06-11,2025-04-11,9998,2,19,Decommissioning,Rachel Brown,Drew Lewis,PAM Managed; Access Certified; Just-In-Time Access; Auto-Provisioned
APP-1082,SentinelOne,Microsoft,On-Premise,Operations,Staging,Medium,Low,Internal,SOC 2,Yes,OAuth 2.0/OIDC,Automated (API),Yes,Yes,Yes,Continuous,2025-08-06,2025-12-05,4464,33,2,In Progress,Tom Wilson,Morgan Anderson,Least Privilege Enforced; SSO Enabled; Access Certified; PAM Managed; Just-In-Time Access
APP-1083,Sophos Central,Ping,PaaS,IT,Production,Medium,High,Public,PCI-DSS,No,MFA + SSO,Manual,Yes,Yes,Yes,Quarterly,2025-09-27,2025-07-03,17529,11,4,Not Started,Amy Taylor,Taylor White,SSO Enabled; Least Privilege Enforced
APP-1084,Varonis,Okta,SaaS,Legal,DR,Low,Critical,Internal,FedRAMP,Yes,MFA + SSO,Hybrid,No,No,Yes,Quarterly,2025-11-01,2025-10-16,45379,5,16,In Progress,Sarah Jones,Jamie Lee,RBAC Implemented; Access Certified
APP-1085,Sailfish,ServiceNow,SaaS,Marketing,Production,High,High,Public,GDPR,Yes,MFA + SSO,Automated (API),No,No,No,Monthly,2025-02-10,2025-02-14,3529,36,8,Onboarded,Emma Taylor,Pat Lee,SSO Enabled; Auto-Provisioned; RBAC Implemented; Just-In-Time Access
APP-1086,Saviynt,AWS,Custom,Operations,Staging,Medium,Critical,Internal,SOX,No,MFA + SSO,Hybrid,No,Yes,Yes,Monthly,2025-03-22,2025-12-26,24913,5,25,Not Started,Chris Davis,Morgan Thomas,PAM Managed; Just-In-Time Access
APP-1087,Omada,SAP,Custom,Marketing,Development,Critical,Medium,Confidential,HIPAA,No,OAuth 2.0/OIDC,Automated (SCIM),Yes,No,Yes,Semi-Annual,2025-07-15,2025-07-13,19136,6,1,Decommissioning,Tom Brown,Pat Lewis,RBAC Implemented; MFA Required; Least Privilege Enforced; Auto-Provisioned; PAM Managed
APP-1088,One Identity,Microsoft,PaaS,Operations,Staging,Critical,Low,Restricted,GDPR,No,OAuth 2.0/OIDC,Hybrid,No,No,Yes,Annual,2025-07-10,2025-03-10,7020,50,3,In Progress,Emma Taylor,Riley Martin,Access Certified; Least Privilege Enforced; Auto-Provisioned; PAM Managed
APP-1089,IBM ISIM,IBM,Hybrid,HR,Development,Medium,Low,Restricted,FedRAMP,No,MFA + SSO,Automated (API),No,Yes,No,Monthly,2025-06-06,2025-02-19,23931,20,10,Not Started,Tom Williams,Jamie Anderson,Just-In-Time Access; Least Privilege Enforced; RBAC Implemented; SSO Enabled; Access Certified
APP-1090,RSA SecurID,Ping,On-Premise,Operations,Staging,Medium,Critical,Confidential,None,No,OAuth 2.0/OIDC,Manual,No,No,No,Semi-Annual,2025-12-14,2025-04-22,7177,4,15,Not Started,Rachel Smith,Pat Garcia,Access Certified; SSO Enabled; Least Privilege Enforced; Auto-Provisioned
